,event_no,category,element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,36,OBJECT,banana,anana,bnana,baana,banna,banaa,banan,bbanana,baanana,bannana,banaana,bananna,bananaa,b anana,ba nana,ban ana,bana na,banan a,abnana,bnaana,baanna,bannaa,banaan,bvanana,vbanana,bganana,gbanana,bhanana,hbanana,bnanana,nbanana,baqnana,bqanana,bawnana,bwanana,basnana,bsanana,baznana,bzanana,banbana,babnana,banhana,bahnana,banjana,bajnana,banmana,bamnana,banaqna,banqana,banawna,banwana,banasna,bansana,banazna,banzana,bananba,banabna,bananha,banahna,bananja,banajna,bananma,banamna,bananaq,bananqa,bananaw,bananwa,bananas,banansa,bananaz,bananza,bana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,9,LOCATION,bank,ank,bnk,bak,ban,bbank,baank,bannk,bankk,b ank,ba nk,ban k,abnk,bnak,bakn,bvank,vbank,bgank,gbank,bhank,hbank,bnank,nbank,baqnk,bqank,bawnk,bwank,basnk,bsank,baznk,bzank,banbk,babnk,banhk,bahnk,banjk,bajnk,banmk,bamnk,bankm,bankj,banki,banik,banko,banok,bankl,banlk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,50,LOCATION,basement,asement,bsement,baement,basment,baseent,basemnt,basemet,basemen,bbasement,baasement,bassement,baseement,basemment,basemeent,basemennt,basementt,b asement,ba sement,bas ement,base ment,basem ent,baseme nt,basemen t,absement,bsaement,baesment,basmeent,baseemnt,basemnet,basemetn,bvasement,vbasement,bgasement,gbasement,bhasement,hbasement,bnasement,nbasement,baqsement,bqasement,bawsement,bwasement,bsasement,bazsement,bzasement,baswement,basaement,baszement,basxement,baxsement,basdement,badsement,baesement,basewment,basesment,basedment,baserment,basrement,basemnent,basenment,basemjent,basejment,basemkent,basekment,basemewnt,basemwent,basemesnt,basemsent,basemednt,basemdent,basemernt,basemrent,basemenbt,basemebnt,basemenht,basemehnt,basemenjt,basemejnt,basemenmt,basememnt,basementr,basemenrt,basementf,basemenft,basementg,basemengt,basementy,basemenyt,base,basem,baseme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,ANIMAL,bat,,,,bbat,baat,batt,b at,ba t,abt,bta,bvat,vbat,bgat,gbat,,,bnat,nbat,baqt,bqat,bawt,bwat,bast,bsat,bazt,bzat,batr,bart,batf,baft,batg,bagt,baty,bayt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,53,LOCATION,beach,each,bach,bech,beah,beac,bbeach,beeach,beaach,beacch,beachh,b each,be ach,bea ch,beac h,ebach,baech,becah,beahc,bveach,vbeach,bgeach,gbeach,bheach,hbeach,bneach,nbeach,bewach,bweach,besach,bseach,bedach,bdeach,berach,breach,beaqch,beqach,beawch,beasch,beazch,bezach,beacxh,beaxch,beacdh,beadch,beacfh,beafch,beacvh,beavch,beachg,beacgh,beachb,beacbh,beachn,beacnh,beachj,beacjh,beachu,beacuh,beachy,beacyh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,ANIMAL,bear,ear,bar,ber,bea,bbear,beear,beaar,bearr,b ear,be ar,bea r,ebar,baer,bera,bvear,vbear,bgear,gbear,bhear,hbear,bnear,nbear,bewar,bwear,besar,bsear,bedar,bdear,berar,brear,beaqr,beqar,beawr,beasr,beazr,bezar,beare,,beard,beadr,bearf,beafr,beart,beatr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,ANIMAL,beaver,eaver,baver,bever,,beavr,beave,bbeaver,beeaver,beaaver,beavver,beaveer,beaverr,b eaver,be aver,bea ver,beav er,beave r,ebaver,baever,bevaer,beaevr,beavre,bveaver,vbeaver,bgeaver,gbeaver,bheaver,hbeaver,bneaver,nbeaver,bewaver,bweaver,besaver,bseaver,bedaver,bdeaver,beraver,breaver,beaqver,beqaver,beawver,beasver,beazver,bezaver,beavcer,beacver,beavfer,beafver,beavger,beagver,beavber,beabver,beavewr,beavwer,beavesr,beavser,beavedr,beavder,beavrer,beavere,beaverd,beaverf,beavefr,beavert,beavetr,beav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,32,LOCATION,bedroom,edroom,bdroom,beroom,bedoom,bedrom,bedroo,bbedroom,beedroom,beddroom,bedrroom,bedrooom,bedroomm,b edroom,be droom,bed room,bedr oom,bedro om,bedroo m,ebdroom,bderoom,berdoom,bedorom,bedromo,bvedroom,vbedroom,bgedroom,gbedroom,bhedroom,hbedroom,bnedroom,nbedroom,bewdroom,bwedroom,besdroom,bsedroom,bdedroom,berdroom,bredroom,bederoom,bedsroom,bedxroom,bexdroom,bedcroom,becdroom,bedfroom,befdroom,bedreoom,bedrdoom,bedrfoom,bedrtoom,bedtroom,bedroiom,bedrioom,bedrokom,bedrkoom,bedrolom,bedrloom,bedropom,bedrpoom,bedrooim,bedrookm,bedroolm,bedroopm,bedroomn,bedroonm,bedroomj,bedroojm,bedroomk,bedr,bedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,ANIMAL,bee,,,bbee,beee,b ee,be e,ebe,bvee,vbee,bgee,gbee,bhee,hbee,bnee,nbee,bewe,bwee,bese,bsee,bede,bdee,bere,bree,beew,bees,beed,beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,28,OBJECT,bike,ike,bke,bie,bik,bbike,biike,bikke,bikee,b ike,bi ke,bik e,ibke,bkie,biek,bvike,vbike,bgike,gbike,bhike,hbike,bnike,nbike,biuke,buike,bijke,bjike,bkike,bioke,boike,bikme,bimke,bikje,bikie,bikoe,bikle,bilke,bikew,bikwe,bikes,bikse,biked,bikde,biker,bikre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,44,OBJECT,binoculars,inoculars,bnoculars,bioculars,binculars,binoulars,binoclars,binocuars,binoculrs,binoculas,binocular,bbinoculars,biinoculars,binnoculars,binooculars,binocculars,binocuulars,binocullars,binoculaars,binocularrs,binocularss,b inoculars,bi noculars,bin oculars,bino culars,binoc ulars,binocu lars,binocul ars,binocula rs,binocular s,ibnoculars,bnioculars,bionculars,bincoulars,binouclars,binocluars,binocualrs,binoculras,binoculasr,bvinoculars,vbinoculars,bginoculars,gbinoculars,bhinoculars,hbinoculars,bninoculars,nbinoculars,biunoculars,buinoculars,bijnoculars,bjinoculars,biknoculars,bkinoculars,bionoculars,boinoculars,binboculars,bibnoculars,binhoculars,bihnoculars,binjoculars,binmoculars,bimnoculars,binoiculars,binioculars,binokculars,binkoculars,binolculars,binloculars,binopculars,binpoculars,binocxulars,binoxculars,binocdulars,binodculars,binocfulars,binofculars,binocvulars,binovculars,binocuylars,binocyulars,binocuhlars,binochulars,binocujlars,binocjulars,binocuilars,binociulars,binoculkars,binocuklars,binoculoars,binocuolars,binoculpars,binocuplars,binoculaqrs,binoculqars,binoculawrs,binoculwars,binoculasrs,binoculsars,binoculazrs,binoculzars,binoculares,binoculaers,binoculards,binoculadrs,binocularfs,binoculafrs,binocularts,binoculatrs,binocularsw,binocularws,binocularsa,binocularas,binocularsz,binocularzs,binocularsx,binocularxs,binocularsd,binocularse,bino,binoc,binocu,binocul,binocula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,7,OBJECT,book,ook,bok,boo,bbook,boook,bookk,b ook,bo ok,boo k,obok,boko,bvook,vbook,bgook,gbook,bhook,hbook,bnook,nbook,boiok,biook,bokok,bkook,bolok,blook,bopok,bpook,booik,boolk,boopk,bookm,boomk,bookj,boojk,booki,booko,bookl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,26,OBJECT,bottle,ottle,bttle,botle,botte,bottl,bbottle,boottle,botttle,bottlle,bottlee,b ottle,bo ttle,bot tle,bott le,bottl e,obttle,btotle,botlte,bottel,bvottle,vbottle,bgottle,gbottle,bhottle,hbottle,bnottle,nbottle,boittle,biottle,bokttle,bkottle,bolttle,blottle,bopttle,bpottle,botrtle,borttle,botftle,bofttle,botgtle,bogttle,botytle,boyttle,bottrle,bottfle,bottgle,bottyle,bottlke,bottkle,bottloe,bottole,bottlpe,bottple,bottlew,bottlwe,bottles,bottlse,bottled,bottlde,bottler,bottlre,bott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,27,LOCATION,bowling alley,owling alley,bwling alley,boling alley,bowing alley,bowlng alley,bowlig alley,bowlin alley,bowlingalley,bowling lley,bowling aley,bowling ally,bowling alle,bbowling alley,boowling alley,bowwling alley,bowlling alley,bowliing alley,bowlinng alley,bowlingg alley,bowling  alley,bowling aalley,bowling allley,bowling alleey,bowling alleyy,b owling alley,bo wling alley,bow ling alley,bowl ing alley,bowli ng alley,bowlin g alley,bowling a lley,bowling al ley,bowling all ey,bowling alle y,obwling alley,bwoling alley,bolwing alley,bowilng alley,bowlnig alley,bowlign alley,bowlin galley,bowlinga lley,bowling laley,bowling alely,bowling allye,bvowling alley,vbowling alley,bgowling alley,gbowling alley,bhowling alley,hbowling alley,bnowling alley,nbowling alley,boiwling alley,biowling alley,bokwling alley,bkowling alley,bolwling alley,blowling alley,bopwling alley,bpowling alley,bowqling alley,boqwling alley,bowaling alley,boawling alley,bowsling alley,boswling alley,boweling alley,boewling alley,bowlking alley,bowkling alley,bowloing alley,bowoling alley,bowlping alley,bowpling alley,bowliung alley,bowluing alley,bowlijng alley,bowljing alley,bowlikng alley,bowliong alley,bowlinbg alley,bowlibng alley,bowlinhg alley,bowlihng alley,bowlinjg alley,bowlinmg alley,bowlimng alley,bowlingf alley,bowlinfg alley,bowlingt alley,bowlintg alley,bowlingy alley,bowlinyg alley,bowlingh alley,bowlingb alley,bowlingv alley,bowlinvg alley,bowling aqlley,bowling qalley,bowling awlley,bowling walley,bowling aslley,bowling salley,bowling azlley,bowling zalley,bowling alkley,bowling aklley,bowling aloley,bowling aolley,bowling alpley,bowling aplley,bowling allkey,bowling alloey,bowling allpey,bowling allewy,bowling allwey,bowling allesy,bowling allsey,bowling alledy,bowling alldey,bowling allery,bowling allrey,bowling alleyt,bowling allety,bowling alleyg,bowling allegy,bowling alleyh,bowling allehy,bowling alleyu,bowling alleuy,bowli,bowlin,bowling,bowling a,bowling al,bowling all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,10,OBJECT,box,,,,bbox,boox,boxx,b ox,bo x,obx,bxo,bvox,vbox,bgox,gbox,bhox,hbox,bnox,nbox,boix,biox,bokx,bkox,bolx,blox,bopx,bpox,boxz,bozx,boxs,bosx,boxd,bodx,boxc,bocx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,34,OBJECT,bucket,ucket,bcket,buket,bucet,buckt,bucke,bbucket,buucket,buccket,buckket,buckeet,buckett,b ucket,bu cket,buc ket,buck et,bucke t,ubcket,bcuket,bukcet,bucekt,buckte,bvucket,vbucket,bgucket,gbucket,bhucket,hbucket,bnucket,nbucket,buycket,byucket,buhcket,bujcket,bjucket,buicket,biucket,bucxket,buxcket,bucdket,budcket,bucfket,bufcket,bucvket,buvcket,buckmet,bucmket,buckjet,bucjket,buckiet,buciket,buckoet,bucoket,bucklet,buclket,buckewt,buckwet,buckest,buckset,buckedt,buckdet,buckert,buckret,bucketr,bucketf,buckeft,bucketg,buckegt,buckety,buckeyt,buck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,35,LOCATION,bus stop ,us stop ,bs stop ,bu stop ,busstop ,bus top ,bus sop ,bus stp ,bus sto ,bus stop,bbus stop ,buus stop ,buss stop ,bus  stop ,bus sstop ,bus sttop ,bus stoop ,bus stopp ,bus stop  ,b us stop ,bu s stop ,bus s top ,bus st op ,bus sto p ,ubs stop ,bsu stop ,bu sstop ,buss top ,bus tsop ,bus sotp ,bus stpo ,bus sto p,bvus stop ,vbus stop ,bgus stop ,gbus stop ,bhus stop ,hbus stop ,bnus stop ,nbus stop ,buys stop ,byus stop ,buhs stop ,bujs stop ,bjus stop ,buis stop ,bius stop ,busw stop ,buws stop ,busa stop ,buas stop ,busz stop ,buzs stop ,busx stop ,buxs stop ,busd stop ,buds stop ,buse stop ,bues stop ,bus swtop ,bus wstop ,bus satop ,bus astop ,bus sztop ,bus zstop ,bus sxtop ,bus xstop ,bus sdtop ,bus dstop ,bus setop ,bus estop ,bus strop ,bus srtop ,bus stfop ,bus sftop ,bus stgop ,bus sgtop ,bus styop ,bus sytop ,bus stoip ,bus stiop ,bus stokp ,bus stkop ,bus stolp ,bus stlop ,bus stpop ,bus stopo ,bus stopl ,buss,busst,bussto,bus s,bus st,bus sto,busstop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,ANIMAL,butterfly,utterfly,btterfly,buterfly,buttrfly,buttefly,butterly,butterfy,butterfl,bbutterfly,buutterfly,buttterfly,butteerfly,butterrfly,butterffly,butterflly,butterflyy,b utterfly,bu tterfly,but terfly,butt erfly,butte rfly,butter fly,butterf ly,butterfl y,ubtterfly,btuterfly,butetrfly,buttrefly,buttefrly,butterlfy,butterfyl,bvutterfly,vbutterfly,bgutterfly,gbutterfly,bhutterfly,hbutterfly,bnutterfly,nbutterfly,buytterfly,byutterfly,buhtterfly,bujtterfly,bjutterfly,buitterfly,biutterfly,butrterfly,burtterfly,butfterfly,buftterfly,butgterfly,bugtterfly,butyterfly,buttrerfly,buttferfly,buttgerfly,buttyerfly,buttewrfly,buttwerfly,buttesrfly,buttserfly,buttedrfly,buttderfly,butterefly,butterdfly,buttefrfly,buttertfly,buttetrfly,butterfdly,butterfrly,butterftly,butterfgly,buttergfly,butterfvly,buttervfly,butterfcly,buttercfly,butterflky,butterfkly,butterfloy,butterfoly,butterflpy,butterfply,butterflyt,butterflty,butterflyg,butterflgy,butterflyh,butterflhy,butterflyu,butterfluy,butt,butte,butter,butterf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,22,LOCATION,cafe,afe,cfe,,caf,ccafe,caafe,caffe,cafee,c afe,ca fe,caf e,acfe,cfae,caef,cxafe,xcafe,cdafe,dcafe,cfafe,fcafe,cvafe,vcafe,caqfe,cqafe,cawfe,cwafe,casfe,csafe,cazfe,czafe,cafde,cadfe,cafre,carfe,cafte,catfe,cafge,cagfe,,,cafce,cacfe,cafew,cafwe,cafes,cafse,cafed,cafer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
