participant_private_id,trial_number,eventno,category_cue,response,target,rater_1,rater_2,agreement,rater_3
2075950,22,16,LOCATION,house,cruise ship,error,error,1,NA
2075950,25,15,LOCATION,house,living room,error,error,1,NA
2076070,3,8,OBJECT,shovel,ice cream,error,error,1,NA
2076070,10,17,ANIMAL,rat,badger,error,error,1,NA
2076070,16,14,ANIMAL,arva,pig,error,error,1,NA
2076070,20,9,OBJECT,paper,spoon,error,error,1,NA
2076070,29,5,OBJECT,rat,carrot,error,error,1,NA
2076070,32,3,OBJECT,jumprope,skipping rope,1,1,1,NA
2069370,5,20,LOCATION,woods,garage,error,error,1,NA
2069370,14,25,OBJECT,shirt,headphones,error,error,1,NA
2069370,15,30,OBJECT,brad,cake,error,error,1,NA
2069370,16,19,LOCATION,office,stadium,error,error,1,NA
2069370,17,35,ANIMAL,fly,crocodile,error,error,1,NA
2069370,18,24,LOCATION,shop,bakery,error,error,1,NA
2069370,29,20,OBJECT,flowers,violin,"wrong event, correct category",error,0,"wrong event, correct category"
2075953,5,29,OBJECT,coat,paintbrush,error,error,1,NA
2075953,23,20,OBJECT,llmp,violin,"wrong event, correct category",error,0,"wrong event, correct category"
2075953,25,24,OBJECT,cabinet,vase,error,error,1,NA
2075953,32,35,LOCATION,bus stop#,bus stop,1,1,1,NA
2075953,34,21,OBJECT,mask,whisk,error,error,1,NA
2075953,35,19,OBJECT,bba,handbag,error,error,1,NA
2075961,6,51,LOCATION,meadow,vineyard,error,error,1,NA
2075961,20,49,LOCATION,store,factory,error,error,1,NA
2075961,23,48,LOCATION,house,windmill,error,error,1,NA
2075961,27,39,ANIMAL,bird,squirrel,error,error,1,NA
2075961,34,44,LOCATION,school,car park,error,error,1,NA
2075961,38,53,OBJECT,blanket,television,error,error,1,NA
2069368,9,40,LOCATION,shop,cinema,error,error,1,NA
2069368,14,53,ANIMAL,snail,mouse,error,error,1,NA
2069368,20,43,OBJECT,scisscors,scissors,1,1,1,NA
2069368,21,49,LOCATION,shop,factory,error,error,1,NA
2075959,5,54,OBJECT,orange,hammer,error,error,1,NA
2075959,23,46,OBJECT,bag,toothbrush,error,error,1,NA
2075959,27,44,OBJECT,a,binoculars,error,error,1,NA
2075959,30,47,OBJECT,scirrors,jigsaw,"wrong event, correct category","wrong event, correct category",1,NA
2075959,37,41,LOCATION,bec,library,error,error,1,NA
2080727,17,3,OBJECT,jumping rope,skipping rope,1,1,1,NA
2080749,4,10,OBJECT,brush,box,error,error,1,NA
2080749,5,5,LOCATION,field,circus,error,error,1,NA
2080749,15,14,ANIMAL,coow\,pig,"wrong event, correct category","wrong event, correct category",1,NA
2080749,19,7,OBJECT,chair],book,error,error,1,NA
2080749,20,4,LOCATION,fiedll,post office,error,error,1,NA
2080749,23,18,LOCATION,clivibn,university,error,error,1,NA
2080749,26,17,LOCATION,field,gym,error,error,1,NA
2080749,27,7,ANIMAL,camek,kangaroo,"wrong event, correct category","wrong event, correct category",1,NA
2080749,29,15,LOCATION,field,living room,error,error,1,NA
2080749,31,13,LOCATION,field,forest,error,error,1,NA
2080749,33,6,OBJECT,tre,clock,error,error,1,NA
2080749,34,5,OBJECT,clown,carrot,error,error,1,NA
2080725,3,10,LOCATION,woods,hairdressers,error,error,1,NA
2080725,4,4,ANIMAL,deer,cow,error,error,1,NA
2080725,19,7,LOCATION,beach\,treehouse,"wrong event, correct category","wrong event, correct category",1,NA
2080725,25,10,OBJECT,comb,box,error,error,1,NA
2080725,35,4,LOCATION,pool,post office,"wrong event, correct category","wrong event, correct category",1,NA
2080725,37,1,LOCATION,school,theatre,error,error,1,NA
2080747,17,21,OBJECT,watch,whisk,error,error,1,NA
2080747,18,22,OBJECT,globe,lamp,error,error,1,NA
2080747,38,32,OBJECT,teeth,guitar,error,error,1,NA
2080734,10,30,OBJECT,bag,cake,error,error,1,NA
2080734,11,20,LOCATION,cro,garage,error,error,1,NA
2080734,14,26,OBJECT,bag,bottle,error,error,1,NA
2080722,4,44,LOCATION,desert,car park,error,error,1,NA
2080722,5,45,LOCATION,street,nightclub,error,error,1,NA
2080722,8,52,OBJECT,pencil,calculator,error,error,1,NA
2080722,15,51,OBJECT,horn,necklace,error,error,1,NA
2080722,16,37,ANIMAL,me,horse,error,error,1,NA
2080722,17,47,LOCATION,kitten,harbour,error,error,1,NA
2080722,18,48,LOCATION,house,windmill,error,error,1,NA
2080722,35,44,OBJECT,pencil,binoculars,error,error,1,NA
2080715,8,2,LOCATION,school,classroom,1,error,0,1
2080715,21,7,ANIMAL,kangeroo,kangaroo,1,1,1,NA
2080726,3,6,LOCATION,zoo,mountain,error,error,1,NA
2080726,34,14,LOCATION,woods,railway station,error,error,1,NA
2080721,14,10,LOCATION,store,hairdressers,error,error,1,NA
2080721,15,7,LOCATION,school,treehouse,error,error,1,NA
2080721,16,17,OBJECT,dress,chainsaw,error,error,1,NA
2080721,17,8,LOCATION,school,waterfall,error,error,1,NA
2080721,20,3,ANIMAL,bird,sheep,error,error,1,NA
2080721,22,11,OBJECT,gals,camera,error,error,1,NA
2080721,23,5,LOCATION,school,circus,error,error,1,NA
2080721,28,4,LOCATION,school,post office,error,error,1,NA
2080721,36,1,LOCATION,store,theatre,error,error,1,NA
2080812,3,19,OBJECT,time,handbag,error,error,1,NA
2080812,8,23,OBJECT,mirror,wallet,error,error,1,NA
2080812,10,33,LOCATION,pocket,hospital,error,error,1,NA
2080812,33,29,LOCATION,field,restaurant,error,error,1,NA
2080812,36,33,OBJECT,needle,keys,error,error,1,NA
2080812,37,35,OBJECT,cars,hat,error,error,1,NA
2080713,4,33,OBJECT,gals,keys,error,error,1,NA
2080713,14,31,OBJECT,glasese,umbrella,"wrong event, correct category","wrong event, correct category",1,NA
2080739,12,39,LOCATION,school,supermarket,error,error,1,NA
2080739,15,43,OBJECT,cu[,scissors,error,error,1,NA
2080720,4,52,OBJECT,shoe#,calculator,error,"wrong event, correct category",0,"wrong event, correct category"
2080720,30,40,LOCATION,cinrma,cinema,1,1,1,NA
2080720,38,39,LOCATION,lightjosue,supermarket,"wrong event, correct category","wrong event, correct category",1,NA
2083627,10,4,LOCATION,station,post office,"wrong event, correct category",error,0,"wrong event, correct category"
2083627,11,8,OBJECT,came,ice cream,"wrong event, wrong category",error,0,error
2083627,12,7,OBJECT,sungalsses,book,error,error,1,NA
2083627,19,13,ANIMAL,hne,chicken,error,error,1,NA
2083627,22,14,LOCATION,train station,railway station,1,1,1,NA
2083627,23,4,OBJECT,rucksack,backpack,1,1,1,NA
2083627,28,17,LOCATION,dentsit,gym,"wrong event, correct category","wrong event, correct category",1,NA
2088711,8,9,OBJECT,milk,spoon,error,error,1,NA
2088711,10,12,OBJECT,xe,mug,error,error,1,NA
2088711,15,6,LOCATION,house,mountain,error,error,1,NA
2088711,18,1,LOCATION,casine,theatre,"wrong event, correct category","wrong event, correct category",1,NA
2088711,26,18,LOCATION,college,university,1,1,1,NA
2088711,36,15,LOCATION,zoo,living room,error,error,1,NA
2104752,3,9,OBJECT,basket,spoon,error,error,1,NA
2104752,4,4,LOCATION,pool,post office,"wrong event, correct category","wrong event, correct category",1,NA
2104752,5,12,OBJECT,fork,mug,error,error,1,NA
2104752,6,2,LOCATION,pool,classroom,"wrong event, correct category","wrong event, correct category",1,NA
2104752,13,18,ANIMAL,skunk,wolf,error,error,1,NA
2104752,14,7,OBJECT,cards,book,error,error,1,NA
2104752,20,8,OBJECT,bread,ice cream,error,error,1,NA
2104752,24,5,OBJECT,fork,carrot,error,error,1,NA
2083615,8,11,LOCATION,school,garden,error,error,1,NA
2083615,10,8,LOCATION,movie,waterfall,error,error,1,NA
2083615,13,14,OBJECT,hacksaw,glasses,error,error,1,NA
2083678,24,2,LOCATION,libraray,classroom,"wrong event, correct category","wrong event, correct category",1,NA
2083678,27,14,ANIMAL,meercat,pig,"wrong event, correct category","wrong event, correct category",1,NA
2083678,32,8,OBJECT,shoe#,ice cream,"wrong event, correct category","wrong event, correct category",1,NA
2083612,7,21,OBJECT,airplane,whisk,"wrong event, correct category",error,0,"wrong event, correct category"
2083612,20,19,OBJECT,hat',handbag,"wrong event, correct category","wrong event, correct category",1,NA
2083612,32,33,OBJECT,rope,keys,error,error,1,NA
2083612,35,22,ANIMAL,tig,panda,"wrong event, correct category",error,0,error
2083605,6,33,LOCATION,hostpi,hospital,1,1,1,NA
2083605,16,27,ANIMAL,frong,platypus,"wrong event, correct category","wrong event, correct category",1,NA
2083605,19,25,ANIMAL,ba##,dragonfly,error,error,1,NA
2083605,29,25,LOCATION,barn,shed,error,1,0,1
2104761,5,20,OBJECT,ice,violin,error,error,1,NA
2104761,6,36,LOCATION,street,city,error,error,1,NA
2104761,10,34,LOCATION,prison,jail,1,1,1,NA
2104761,15,23,OBJECT,earings,wallet,error,error,1,NA
2104761,16,27,ANIMAL,moth,platypus,error,error,1,NA
2104761,17,31,LOCATION,outside,park,error,error,1,NA
2104761,19,22,OBJECT,drink,lamp,error,error,1,NA
2104761,20,19,OBJECT,tre,handbag,error,error,1,NA
2104761,26,19,ANIMAL,rhino,koala,error,error,1,NA
2104761,27,23,ANIMAL,rhino,dolphin,error,error,1,NA
2104761,31,31,OBJECT,rhino,umbrella,error,error,1,NA
2104761,33,20,ANIMAL,rhino,lizard,error,error,1,NA
2104761,37,29,LOCATION,resteraunt,restaurant,1,1,1,NA
2113701,3,19,OBJECT,bag,handbag,1,error,0,1
2113701,15,24,OBJECT,buc,vase,"wrong event, correct category",error,0,1
2113701,36,28,LOCATION,desert,river,error,error,1,NA
2083602,3,26,OBJECT,binculors,bottle,"wrong event, correct category","wrong event, correct category",1,NA
2083602,4,21,LOCATION,mall,aquarium,error,error,1,NA
2083602,6,28,OBJECT,canal,bike,error,error,1,NA
2083602,8,20,LOCATION,donkey,garage,error,error,1,NA
2083602,20,19,LOCATION,train,stadium,error,error,1,NA
2083602,25,23,OBJECT,meercat,wallet,"wrong event, wrong category","wrong event, wrong category",1,NA
2083602,26,36,LOCATION,mall,city,error,error,1,NA
2083602,32,19,OBJECT,binoculors,handbag,"wrong event, correct category","wrong event, correct category",1,NA
2088758,7,27,OBJECT,socks,sock,1,1,1,NA
2088758,14,19,LOCATION,grocery store,stadium,"wrong event, correct category","wrong event, correct category",1,NA
2088758,33,19,OBJECT,purse,handbag,1,error,0,1
2088758,34,34,LOCATION,jail',jail,1,1,1,NA
2088758,35,25,ANIMAL,came;,dragonfly,"wrong event, correct category","wrong event, correct category",1,NA
2104763,12,26,OBJECT,house,bottle,error,error,1,NA
2104763,13,30,OBJECT,paper,cake,error,error,1,NA
2104763,16,27,OBJECT,socks,sock,1,1,1,NA
2104763,17,23,LOCATION,train,balcony,error,error,1,NA
2104763,19,25,OBJECT,earphones,headphones,1,1,1,NA
2104763,28,20,OBJECT,bowl,violin,error,error,1,NA
2104763,29,19,OBJECT,pear,handbag,error,error,1,NA
2104763,30,23,OBJECT,swing,wallet,error,error,1,NA
2104763,32,34,LOCATION,prison,jail,1,1,1,NA
2104787,7,31,ANIMAL,rhino,lion,error,error,1,NA
2104787,11,28,OBJECT,bicycle,bike,1,1,1,NA
2104787,14,35,ANIMAL,alligator,crocodile,error,1,0,1
2104787,38,21,OBJECT,"ardraverkerfjwf.,djf",whisk,error,error,1,NA
2113703,7,24,LOCATION,shop,bakery,error,error,1,NA
2113703,10,28,OBJECT,bicycle,bike,1,1,1,NA
2113703,13,27,OBJECT,spoc,sock,1,error,0,error
2113703,14,21,LOCATION,shop,aquarium,error,error,1,NA
2113703,15,30,OBJECT,newspaper,cake,error,error,1,NA
2113703,36,23,OBJECT,newspaper,wallet,error,error,1,NA
2083616,3,28,LOCATION,stadium\,river,"wrong event, correct category","wrong event, correct category",1,NA
2083616,15,33,OBJECT,idk,keys,error,error,1,NA
2083616,29,22,LOCATION,outside,cafe,error,error,1,NA
2083616,37,23,LOCATION,campsite\,balcony,"wrong event, correct category","wrong event, correct category",1,NA
2083652,8,29,LOCATION,b,restaurant,error,error,1,NA
2083652,26,27,OBJECT,socks,sock,1,1,1,NA
2104774,4,24,ANIMAL,walrus,ant,error,error,1,NA
2104774,13,29,LOCATION,school,restaurant,error,error,1,NA
2104774,23,31,ANIMAL,lie,lion,1,error,0,error
2104774,25,27,OBJECT,socks,sock,1,1,1,NA
2105515,15,29,LOCATION,shop,restaurant,error,error,1,NA
2105515,18,25,LOCATION,shop,shed,error,error,1,NA
2105515,27,19,LOCATION,shop,stadium,error,error,1,NA
2113688,18,36,OBJECT,plate,banana,error,error,1,NA
2113688,23,30,OBJECT,birthday cake,cake,1,1,1,NA
2113688,27,33,ANIMAL,sloth,fox,error,error,1,NA
2113688,30,27,OBJECT,towel,sock,error,error,1,NA
2083679,6,49,LOCATION,field,factory,error,error,1,NA
2083679,8,41,OBJECT,cap,whistle,error,error,1,NA
2083679,10,54,LOCATION,zoo,pharmacy,error,error,1,NA
2083679,14,47,ANIMAL,fiah,peacock,error,error,1,NA
2083679,25,53,OBJECT,tv,television,1,1,1,NA
2083679,31,45,LOCATION,disco,nightclub,1,1,1,NA
2083679,36,50,OBJECT,applet,flower,error,error,1,NA
2083679,38,39,ANIMAL,rat,squirrel,error,error,1,NA
2104745,4,38,OBJECT,toothpick,candle,error,error,1,NA
2104745,11,50,LOCATION,no idea,basement,error,error,1,NA
2104745,12,46,ANIMAL,goose,dog,error,error,1,NA
2104745,15,43,ANIMAL,goose,octopus,error,error,1,NA
2104745,16,52,LOCATION,school,museum,error,error,1,NA
2104745,25,47,LOCATION,street,harbour,error,error,1,NA
2104745,34,54,OBJECT,drill,hammer,error,error,1,NA
2104817,7,43,ANIMAL,bird,octopus,error,error,1,NA
2104817,8,41,OBJECT,pool,whistle,error,"wrong event, wrong category",0,"wrong event, wrong category"
2104817,9,52,LOCATION,cls,museum,error,error,1,NA
2104817,13,45,ANIMAL,owl,aardvark,error,error,1,NA
2104817,19,38,OBJECT,jackr,candle,"wrong event, correct category",error,0,error
2083637,7,48,OBJECT,coat,jacket,1,1,1,NA
2083637,15,49,ANIMAL,no ide,lobster,error,error,1,NA
2083637,16,53,ANIMAL,bird,mouse,error,error,1,NA
2104757,4,41,LOCATION,owl,library,error,error,1,NA
2104757,10,42,LOCATION,pool,swimming pool,1,1,1,NA
2104757,15,51,ANIMAL,moose,whale,error,error,1,NA
2104757,24,37,OBJECT,telephone,phone,1,1,1,NA
2104757,25,52,LOCATION,offic,museum,error,error,1,NA
2104757,28,49,LOCATION,warehouse,factory,error,error,1,NA
2113690,4,43,OBJECT,tourch,scissors,"wrong event, correct category","wrong event, correct category",1,NA
2113690,5,48,OBJECT,k,jacket,error,error,1,NA
2113690,6,39,LOCATION,b,supermarket,error,error,1,NA
2113690,7,45,OBJECT,boat,pen,error,error,1,NA
2113690,8,44,OBJECT,coat,binoculars,"wrong event, correct category",error,0,"wrong event, correct category"
2113690,15,37,LOCATION,giffare,kitchen,"wrong event, wrong category",error,0,"wrong event, wrong category"
2113690,17,38,LOCATION,outdoors,lake,error,error,1,NA
2113690,18,41,LOCATION,fairground,library,error,error,1,NA
2113690,22,37,OBJECT,tape,phone,error,error,1,NA
2113690,30,39,OBJECT,sand,drum,error,error,1,NA
2113690,31,42,OBJECT,boat,balloon,error,error,1,NA
2113690,36,43,ANIMAL,octupous,octopus,1,1,1,NA
2083634,4,51,OBJECT,necklase,necklace,1,1,1,NA
2083634,5,40,ANIMAL,wh,elephant,error,error,1,NA
2083634,9,52,OBJECT,spade,calculator,error,error,1,NA
2083634,10,53,OBJECT,cheese,television,error,error,1,NA
2083634,19,50,OBJECT,saw,flower,error,error,1,NA
2083634,20,45,LOCATION,meausem,nightclub,"wrong event, correct category","wrong event, correct category",1,NA
2083634,21,44,OBJECT,binocluaras,binoculars,1,1,1,NA
2083634,26,41,LOCATION,meausem,library,"wrong event, correct category","wrong event, correct category",1,NA
2083634,27,54,ANIMAL,beevger,beaver,1,1,1,NA
2083634,33,47,OBJECT,picnic,jigsaw,error,error,1,NA
2083634,35,39,LOCATION,meausem,supermarket,"wrong event, correct category","wrong event, correct category",1,NA
2083634,37,50,ANIMAL,aazark,ostrich,"wrong event, correct category","wrong event, correct category",1,NA
2083814,6,44,LOCATION,len,car park,error,error,1,NA
2113700,17,40,ANIMAL,ostricth,elephant,"wrong event, correct category","wrong event, correct category",1,NA
2083628,4,9,ANIMAL,meercat,butterfly,"wrong event, correct category","wrong event, correct category",1,NA
2083628,7,12,ANIMAL,polar bear,bear,1,1,1,NA
2083628,10,10,ANIMAL,pelican,flamingo,error,error,1,NA
2083628,11,11,ANIMAL,deer,goat,error,error,1,NA
2083628,16,18,LOCATION,house,university,error,error,1,NA
2083628,17,15,LOCATION,sea,living room,error,error,1,NA
2083628,19,1,OBJECT,bowl,dice,error,error,1,NA
2083628,33,8,LOCATION,wa,waterfall,1,error,0,error
2113692,13,13,LOCATION,garah,forest,"wrong event, correct category",error,0,error
2113692,32,5,ANIMAL,s,spider,error,error,1,NA
2104762,38,10,ANIMAL,flamengo,flamingo,1,1,1,NA
2113693,7,2,LOCATION,school,classroom,1,error,0,1
2113693,15,7,OBJECT,compass,book,error,error,1,NA
2113693,16,10,OBJECT,watch,box,error,error,1,NA
2113693,17,5,LOCATION,dessert,circus,error,error,1,NA
2113693,21,15,LOCATION,lounge,living room,1,1,1,NA
2083601,3,2,ANIMAL,owl,snake,error,error,1,NA
2083601,8,8,LOCATION,densi,waterfall,error,error,1,NA
2083601,16,16,OBJECT,drink,statue,error,error,1,NA
2083601,17,17,OBJECT,pencil,chainsaw,error,error,1,NA
2083601,34,7,OBJECT,kangraoo book\,book,1,error,0,1
2088745,35,2,LOCATION,school,classroom,1,error,0,1
2088770,9,9,LOCATION,ba,bank,1,error,0,1
2088770,11,17,OBJECT,he,chainsaw,error,error,1,NA
2088770,14,2,ANIMAL,besr,snake,"wrong event, correct category",error,0,error
2088770,15,14,OBJECT,ba,glasses,error,error,1,NA
2088770,16,1,ANIMAL,],fish,error,error,1,NA
2088770,17,8,LOCATION,ho,waterfall,error,error,1,NA
2088770,18,15,OBJECT,ba,ring,error,error,1,NA
2088770,27,6,LOCATION,],mountain,error,error,1,NA
2088770,31,10,OBJECT,l,box,error,error,1,NA
2088770,34,3,LOCATION,g,church,error,error,1,NA
2088770,36,18,ANIMAL,l,wolf,error,error,1,NA
2088770,37,4,LOCATION,bet,post office,error,error,1,NA
2113697,3,7,LOCATION,shop,treehouse,error,error,1,NA
2113697,4,16,OBJECT,socks,statue,"wrong event, correct category","wrong event, correct category",1,NA
2113697,6,12,LOCATION,zoo,lighthouse,error,error,1,NA
2113697,8,15,OBJECT,socks,ring,"wrong event, correct category","wrong event, correct category",1,NA
2113697,10,13,OBJECT,socks,ball,"wrong event, correct category","wrong event, correct category",1,NA
2113697,18,10,LOCATION,shop,hairdressers,error,error,1,NA
2113697,21,3,LOCATION,field,church,error,error,1,NA
2113697,31,5,LOCATION,libaray,circus,"wrong event, correct category","wrong event, correct category",1,NA
2113697,33,1,LOCATION,zoo,theatre,error,error,1,NA
2104760,6,20,OBJECT,parking lot,violin,"wrong event, wrong category",error,0,"wrong event, wrong category"
2104760,8,35,LOCATION,parking lot,bus stop,"wrong event, correct category","wrong event, correct category",1,NA
2104760,9,34,LOCATION,hill,jail,error,error,1,NA
2104760,15,32,LOCATION,owl,bedroom,error,error,1,NA
2104760,16,33,LOCATION,parking lot,hospital,"wrong event, correct category","wrong event, correct category",1,NA
2104760,17,21,OBJECT,bag,whisk,error,error,1,NA
2104760,19,31,LOCATION,parking lot,park,error,"wrong event, correct category",0,"wrong event, correct category"
2104760,20,22,OBJECT,car,lamp,error,error,1,NA
2104760,21,32,OBJECT,bed,guitar,"correct event, wrong category",error,0,error
2104760,25,36,OBJECT,watch,banana,error,error,1,NA
2104760,37,22,ANIMAL,owl,panda,error,error,1,NA
2083651,8,29,OBJECT,rake,paintbrush,error,error,1,NA
2083651,14,27,OBJECT,socks,sock,1,1,1,NA
2083651,18,22,LOCATION,bathroom,cafe,error,error,1,NA
2083651,25,33,LOCATION,bus,hospital,error,error,1,NA
2083651,31,36,LOCATION,boat,city,error,error,1,NA
2083651,38,22,OBJECT,table,lamp,error,error,1,NA
2088710,11,30,OBJECT,band\,cake,error,error,1,NA
2088710,27,35,LOCATION,bus \stop,bus stop,1,1,1,NA
2104820,12,30,OBJECT,drink,cake,error,error,1,NA
2104820,17,19,LOCATION,ct,stadium,error,error,1,NA
2104820,26,35,LOCATION,bustop,bus stop,1,1,1,NA
2113796,4,35,ANIMAL,aligator,crocodile,error,1,0,1
2113796,8,33,ANIMAL,squ,fox,error,error,1,NA
2113796,19,19,LOCATION,cinae,stadium,"wrong event, correct category","wrong event, correct category",1,NA
2113796,20,29,OBJECT,painting,paintbrush,error,error,1,NA
2088713,13,29,LOCATION,anteater,restaurant,error,error,1,NA
2088713,14,30,LOCATION,school,dentists,error,error,1,NA
2088713,15,26,LOCATION,station,castle,"wrong event, correct category",error,0,"wrong event, correct category"
2088713,23,29,OBJECT,spade,paintbrush,error,error,1,NA
2088713,28,26,OBJECT,knife,bottle,error,error,1,NA
2088713,36,22,LOCATION,zoo,cafe,error,error,1,NA
2113742,5,27,LOCATION,not su,bowling alley,error,error,1,NA
2113742,9,22,ANIMAL,rhino,panda,error,error,1,NA
2083617,13,51,LOCATION,train,vineyard,error,error,1,NA
2083617,19,49,LOCATION,pool,factory,"wrong event, correct category","wrong event, correct category",1,NA
2083617,20,52,LOCATION,shop,museum,error,error,1,NA
2083617,31,44,LOCATION,trainstation,car park,"wrong event, correct category","wrong event, correct category",1,NA
2104751,7,45,ANIMAL,owl,aardvark,error,error,1,NA
2104751,12,54,LOCATION,shop,pharmacy,error,error,1,NA
2104751,13,52,LOCATION,sea,museum,error,error,1,NA
2104751,14,41,OBJECT,wand,whistle,error,error,1,NA
2104751,15,48,ANIMAL,toad,duck,error,error,1,NA
2104751,21,43,LOCATION,shop,casino,error,error,1,NA
2104751,37,54,OBJECT,drill,hammer,error,error,1,NA
2113689,8,53,LOCATION,house,beach,error,error,1,NA
2113689,12,38,OBJECT,jar,candle,error,error,1,NA
2088714,10,38,LOCATION,c,lake,error,error,1,NA
2088714,15,41,LOCATION,acquarium,library,"wrong event, correct category",error,0,"wrong event, correct category"
2088714,21,44,ANIMAL,hyppo,hippo,1,1,1,NA
2088714,29,39,OBJECT,list,drum,error,error,1,NA
2088714,31,37,OBJECT,knife,phone,error,error,1,NA
2113752,9,53,OBJECT,pencil,television,error,error,1,NA
2113752,19,52,OBJECT,pencil,calculator,error,error,1,NA
2113752,21,41,LOCATION,zoo,library,error,error,1,NA
2113752,35,47,OBJECT,puzzle,jigsaw,1,error,0,1
2125189,6,17,LOCATION,woods,gym,error,error,1,NA
2125189,15,3,OBJECT,glaase,skipping rope,"wrong event, correct category",error,0,error
2125189,27,17,OBJECT,gorilla,chainsaw,error,error,1,NA
2125189,28,8,LOCATION,jungle,waterfall,error,error,1,NA
2125189,37,3,ANIMAL,lamb,sheep,1,error,0,1
2155931,7,17,LOCATION,hotel,gym,error,error,1,NA
2155931,14,12,ANIMAL,co,bear,error,error,1,NA
